train error: 13510723304.19212, validation error: 368296592820.6967
train error: 2.809863646415018e+24, validation error: 5.497989783245945e+24
train error: 7.999640660704401e+21, validation error: 1.595050687816689e+22
train error: 2.171673017954796e+37, validation error: 2.2099083657600133e+37
train error: 1.8481969027339494e+31, validation error: 3.496579132288739e+31
train error: 2.2636854614367466e+40, validation error: 2.303541023216419e+40
train error: 3.451110361991862e+30, validation error: 6.54949565963946e+30
train error: 5.898463820957117e+39, validation error: 6.002209579824177e+39
train error: 1.2815872059263816e+31, validation error: 2.424600746550635e+31
train error: 2.017839472240052e+39, validation error: 2.0533665483255783e+39
train error: 2.3814733381880037e+33, validation error: 2.42348741620457e+33
train error: 5.262377932084096e+27, validation error: 1.008823465081609e+28
gen: 12 best:381807316124.88885
train error: 9.142617263803426e+30, validation error: 1.7272786762269107e+31
train error: 2.2550139148740885e+39, validation error: 2.294716869740789e+39
train error: 4.7791443526098965e+28, validation error: 9.04070929120438e+28
train error: 1.6562076697529585e+40, validation error: 1.685347402861068e+40
train error: 4.2579996305549104e+26, validation error: 8.158979280696426e+26
train error: 6.595149648432619e+39, validation error: 6.711229291333266e+39
train error: 1.0477459721742732e+28, validation error: 2.007394876694224e+28
train error: 1.405820868577173e+39, validation error: 1.4306611862204518e+39
train error: 1.6201072529721012e+40, validation error: 1.6486244093474066e+40
train error: 1.7623779949252274e+22, validation error: 3.505307528085756e+22
train error: 1.4454615954671944e+24, validation error: 2.7713703444427533e+24
train error: 2.9350681352962808e+31, validation error: 5.552815026426401e+31
train error: 9.903505514579972e+30, validation error: 1.8762569002239634e+31
train error: 1.4571611558708279e+28, validation error: 2.794387177028174e+28
train error: 7.80816885395463e+21, validation error: 1.5138128369485739e+22
gen: 13 best:381807316124.88885
train error: 6.921798535415768e+30, validation error: 1.3095185844125143e+31
train error: 8.808703622213008e+39, validation error: 8.963794061748663e+39
train error: 1.7398221921593246e+37, validation error: 1.770454377936891e+37
train error: 2.371116150951289e+21, validation error: 4.306032638444134e+21
train error: 2.7567860838967283e+30, validation error: 5.215495682136576e+30
train error: 1.0815917047439328e+39, validation error: 1.100759254268159e+39
train error: 2.473468068706468e+39, validation error: 2.517017167430581e+39
train error: 3.8325985417492877e+31, validation error: 7.250779655780531e+31
train error: 2.7575081136788744e+21, validation error: 4.6401563287969034e+21
train error: 1.0073578902559549e+40, validation error: 1.0250958464026656e+40
train error: 1.397109126933235e+31, validation error: 2.639740876545107e+31
train error: 1.8263229983257572e+40, validation error: 1.858478618261388e+40
train error: 2.3949718516901552e+30, validation error: 4.531040717971948e+30
train error: 1.910104788365634e+40, validation error: 1.9437563894508958e+40
train error: 1.3972549249895595e+31, validation error: 2.645105305833895e+31
gen: 14 best:381807316124.88885
train error: 1.9652173884878177e+38, validation error: 1.9998179236579963e+38
train error: 194155720157.4714, validation error: 1033824544506.4886
train error: 2.5478717894772403e+40, validation error: 2.592687883497625e+40
train error: 4.631163731075739e+24, validation error: 8.978751264286732e+24
train error: 3.801392430746918e+31, validation error: 7.191718532360832e+31
train error: 4.785554987735505e+24, validation error: 9.25004344974418e+24
train error: 8.866145289950232e+23, validation error: 1.7108760443061408e+24
train error: 3.8237837520716464e+39, validation error: 3.8910340148249346e+39
train error: 3.849899866122363e+27, validation error: 7.383853010073148e+27
train error: 1.0882396116132647e+39, validation error: 1.107482297901337e+39
train error: 1.4028334602501747e+28, validation error: 2.689291184031575e+28
train error: 1.3006672911925053e+31, validation error: 2.4606928870434426e+31
train error: 2.5086646206522927e+30, validation error: 4.74262288201804e+30
train error: 1.1528084127499595e+21, validation error: 2.2529069463081472e+21
train error: 1.6330128299323718e+39, validation error: 1.6616949282302013e+39
gen: 15 best:381807316124.88885
train error: 2.411319605685562e+20, validation error: 4.712483916431491e+20
train error: 3.002421441753017e+40, validation error: 3.0552423440260774e+40
train error: 1.3654443818284122e+40, validation error: 1.3894844926064014e+40
train error: 1.7697739179262766e+23, validation error: 3.43118424683188e+23
train error: 1.910528611735448e+40, validation error: 1.94416631222115e+40
train error: 2.4324708195037486e+31, validation error: 4.601942924987927e+31
train error: 9.796998913073304e+27, validation error: 1.87816755613306e+28
train error: 1.2490347754867733e+31, validation error: 2.3665988593176453e+31
train error: 7.644501313135328e+21, validation error: 1.4939448154449355e+22
train error: 6.223499633513489e+30, validation error: 1.1773849684445891e+31
train error: 2.2124504945031307e+31, validation error: 4.185682274683653e+31
train error: 3.1352533782920835e+31, validation error: 5.931436302579318e+31
train error: 1.2873395693696258e+31, validation error: 2.433554146020615e+31
train error: 6.174508239738877e+30, validation error: 1.1681406915209936e+31
train error: 2.8277990785109633e+24, validation error: 5.44564531078138e+24
gen: 16 best:381807316124.88885
train error: 4.317554265710871e+27, validation error: 8.288362402894064e+27
train error: 5.250817195981345e+20, validation error: 1.02617252480077e+21
train error: 1.611263997819399e+31, validation error: 3.04643963308677e+31
train error: 3.579298001739383e+39, validation error: 3.6423183886835275e+39
train error: 8.91860808916295e+37, validation error: 9.077956065578122e+37
train error: 2.1058825616155576e+40, validation error: 2.1429592311353379e+40
train error: 3.555635906804469e+39, validation error: 3.6182369034674744e+39
train error: 1.3127888765876366e+31, validation error: 2.4835812390813546e+31
train error: 3.490664484690896e+30, validation error: 6.603914046157971e+30
train error: 2.0028620721528954e+31, validation error: 3.7892117725234664e+31
train error: 1.479218686043325e+40, validation error: 1.5052625345469896e+40
train error: 1.157077059939515e+28, validation error: 2.218617367871019e+28
train error: 6.098949818431719e+27, validation error: 1.170290395444575e+28
train error: 1.2067469556577726e+39, validation error: 1.2279708509169984e+39
train error: 1.295022852122157e+31, validation error: 2.4518455201746327e+31
gen: 17 best:381807316124.88885
train error: 5.605512670832022e+30, validation error: 1.0595164562200233e+31
train error: 3.222207660414317e+39, validation error: 3.279062045287135e+39
train error: 4.936620573499568e+38, validation error: 5.023552100493036e+38
train error: 1.2337638345912147e+28, validation error: 2.365243628628776e+28
train error: 3.745592328745349e+30, validation error: 7.086441172884442e+30
train error: 1.0714364920572358e+23, validation error: 2.098464595235624e+23
train error: 1.5082410217093586e+31, validation error: 2.853412285358672e+31
train error: 4.610215851927043e+24, validation error: 8.955590695811697e+24
train error: 5.778252017811098e+39, validation error: 5.879908786907266e+39
train error: 1.1177918094003824e+27, validation error: 2.154405737748711e+27
train error: 5.620954335919691e+39, validation error: 5.719916908582227e+39
train error: 5.980649840571557e+39, validation error: 6.08594259181755e+39
train error: 9.440465237168343e+27, validation error: 1.8093118341750103e+28
train error: 1.0485046580878901e+31, validation error: 1.9834125647294617e+31
